
Fuel Cell Controller
Horizon H-100 Stack
(c) Simon Howroyd 2013
Loughborough University

controller  Copyright (C) 2013  Simon Howroyd
This program comes with ABSOLUTELY NO WARRANTY; for details type `show w'.
This is free software, and you are welcome to redistribute it,
under certain conditions; type `show c' for details.

Mon Jan 27 15:01:37 2014


 1390834900.909223	0.000000	STA	v1 	 21.992838	a1 	 0.385817	tB 	 -1.000000	tE 	 -1.000000	tR 	 -1.000000	tY 	 -1.000000	OK	vE 	 2.71	PF 	 10.0	
 1390834900.964169	0.000000	STA	v1 	 21.992838	a1 	 0.385817	tB 	 -1.000000	tE 	 -1.000000	tR 	 -1.000000	tY 	 -1.000000	OK	vE 	 2.71	PF 	 10.0	
 1390834900.992369	0.000000	STA	v1 	 21.992838	a1 	 0.385817	tB 	 -1.000000	tE 	 -1.000000	tR 	 -1.000000	tY 	 -1.000000	OK	vE 	 2.71	PF 	 10.0	
 1390834901.044562	0.000000	STA	v1 	 21.992838	a1 	 0.385817	tB 	 -1.000000	tE 	 -1.000000	tR 	 -1.000000	tY 	 -1.000000	OK	vE 	 2.71	PF 	 10.0	
 1390834901.087079	0.000000	STA	v1 	 21.992838	a1 	 0.385817	tB 	 -1.000000	tE 	 -1.000000	tR 	 -1.000000	tY 	 -1.000000	OK	vE 	 2.71	PF 	 10.0	
 1390834901.123301	0.000000	STA	v1 	 21.992838	a1 	 0.385817	tB 	 -1.000000	tE 	 -1.000000	tR 	 -1.000000	tY 	 -1.000000	OK	vE 	 2.71	PF 	 10.0	
 1390834901.163801	0.000000	STA	v1 	 21.992838	a1 	 0.385817	tB 	 -1.000000	tE 	 -1.000000	tR 	 -1.000000	tY 	 -1.000000	OK	vE 	 2.71	PF 	 10.0	
 1390834901.201006	0.000000	STA	v1 	 21.992838	a1 	 0.385817	tB 	 -1.000000	tE 	 -1.000000	tR 	 -1.000000	tY 	 -1.000000	OK	vE 	 2.71	PF 	 10.0	
 1390834901.247735	0.000000	STA	v1 	 21.992838	a1 	 0.385817	tB 	 -1.000000	tE 	 -1.000000	tR 	 -1.000000	tY 	 -1.000000	OK	vE 	 2.71	PF 	 10.0	
 1390834901.28157	0.000000	STA	v1 	 21.992838	a1 	 0.385817	tB 	 -1.000000	tE 	 -1.000000	tR 	 -1.000000	tY 	 -1.000000	OK	vE 	 2.71	PF 	 10.0	
 1390834901.32527	0.000000	STA	v1 	 21.992838	a1 	 0.385817	tB 	 -1.000000	tE 	 -1.000000	tR 	 -1.000000	tY 	 -1.000000	OK	vE 	 2.71	PF 	 10.0	
 1390834901.349879	0.000000	STA	v1 	 21.992838	a1 	 0.385817	tB 	 -1.000000	tE 	 -1.000000	tR 	 -1.000000	tY 	 -1.000000	OK	vE 	 2.71	PF 	 10.0	
 1390834901.39081	0.000000	STA	v1 	 21.992838	a1 	 0.385817	tB 	 -1.000000	tE 	 -1.000000	tR 	 -1.000000	tY 	 -1.000000	OK	vE 	 2.71	PF 	 10.0	
 1390834901.44636	0.000000	STA	v1 	 21.992838	a1 	 0.385817	tB 	 -1.000000	tE 	 -1.000000	tR 	 -1.000000	tY 	 -1.000000	OK	vE 	 2.71	PF 	 10.0	
 1390834901.484832	0.000000	STA	v1 	 21.992838	a1 	 0.385817	tB 	 -1.000000	tE 	 -1.000000	tR 	 -1.000000	tY 	 -1.000000	OK	vE 	 2.71	PF 	 10.0	
 1390834901.511677	0.000000	STA	v1 	 21.992838	a1 	 0.385817	tB 	 -1.000000	tE 	 -1.000000	tR 	 -1.000000	tY 	 -1.000000	OK	vE 	 2.71	PF 	 10.0	
 1390834901.54974	0.000000	STA	v1 	 21.992838	a1 	 0.385817	tB 	 -1.000000	tE 	 -1.000000	tR 	 -1.000000	tY 	 -1.000000	OK	vE 	 2.71	PF 	 10.0	
 1390834901.588207	0.000000	STA	v1 	 21.992838	a1 	 0.385817	tB 	 -1.000000	tE 	 -1.000000	tR 	 -1.000000	tY 	 -1.000000	OK	vE 	 2.71	PF 	 10.0	
 1390834901.627072	0.000000	STA	v1 	 21.992838	a1 	 0.385817	tB 	 -1.000000	tE 	 -1.000000	tR 	 -1.000000	tY 	 -1.000000	OK	vE 	 2.71	PF 	 10.0	
 1390834901.67354	0.000000	STA	v1 	 21.992838	a1 	 0.385817	tB 	 -1.000000	tE 	 -1.000000	tR 	 -1.000000	tY 	 -1.000000	OK	vE 	 2.71	PF 	 10.0	
 1390834901.710798	0.000000	STA	v1 	 21.992838	a1 	 0.385817	tB 	 -1.000000	tE 	 -1.000000	tR 	 -1.000000	tY 	 -1.000000	OK	vE 	 2.71	PF 	 10.0	
 1390834901.747379	0.000000	STA	v1 	 21.992838	a1 	 0.385817	tB 	 -1.000000	tE 	 -1.000000	tR 	 -1.000000	tY 	 -1.000000	OK	vE 	 2.71	PF 	 10.0	
 1390834901.789697	0.000000	STA	v1 	 21.992838	a1 	 0.385817	tB 	 -1.000000	tE 	 -1.000000	tR 	 -1.000000	tY 	 -1.000000	OK	vE 	 2.71	PF 	 10.0	
 1390834901.822063	0.000000	STA	v1 	 21.992838	a1 	 0.385817	tB 	 -1.000000	tE 	 -1.000000	tR 	 -1.000000	tY 	 -1.000000	OK	vE 	 2.71	PF 	 10.0	
 1390834901.856703	0.000000	STA	v1 	 21.992838	a1 	 0.385817	tB 	 -1.000000	tE 	 -1.000000	tR 	 -1.000000	tY 	 -1.000000	OK	vE 	 2.71	PF 	 10.0	
 1390834901.911871	0.000000	STA	v1 	 22.333078	a1 	 0.385817	tB 	 -1.000000	tE 	 -1.000000	tR 	 -1.000000	tY 	 -1.000000	OK	vE 	 3.05	PF 	 10.0	
 1390834901.939597	0.000000	STA	v1 	 22.333078	a1 	 0.385817	tB 	 -1.000000	tE 	 -1.000000	tR 	 -1.000000	tY 	 -1.000000	OK	vE 	 3.05	PF 	 10.0	
 1390834901.980714	0.000000	STA	v1 	 22.333078	a1 	 0.385817	tB 	 -1.000000	tE 	 -1.000000	tR 	 -1.000000	tY 	 -1.000000	OK	vE 	 3.05	PF 	 10.0	
 1390834902.034288	0.000000	STA	v1 	 22.333078	a1 	 0.385817	tB 	 -1.000000	tE 	 -1.000000	tR 	 -1.000000	tY 	 -1.000000	OK	vE 	 3.05	PF 	 10.0	
 1390834902.061795	0.000000	STA	v1 	 22.333078	a1 	 0.385817	tB 	 -1.000000	tE 	 -1.000000	tR 	 -1.000000	tY 	 -1.000000	OK	vE 	 3.05	PF 	 10.0	
 1390834902.100149	0.000000	STA	v1 	 22.333078	a1 	 0.385817	tB 	 -1.000000	tE 	 -1.000000	tR 	 -1.000000	tY 	 -1.000000	OK	vE 	 3.05	PF 	 10.0	
 1390834902.142831	0.000000	STA	v1 	 22.333078	a1 	 0.385817	tB 	 -1.000000	tE 	 -1.000000	tR 	 -1.000000	tY 	 -1.000000	OK	vE 	 3.05	PF 	 10.0	
 1390834902.172156	0.000000	STA	v1 	 22.333078	a1 	 0.385817	tB 	 -1.000000	tE 	 -1.000000	tR 	 -1.000000	tY 	 -1.000000	OK	vE 	 3.05	PF 	 10.0	
