
Fuel Cell Controller
Horizon H-100 Stack
(c) Simon Howroyd 2013
Loughborough University

controller  Copyright (C) 2013  Simon Howroyd
This program comes with ABSOLUTELY NO WARRANTY; for details type `show w'.
This is free software, and you are welcome to redistribute it,
under certain conditions; type `show c' for details.

Tue Jan 28 13:59:36 2014


 1390917579.661588	0.000000	STA	v1 	 22.522385	a1 	 0.385817	p1 	 8.689517	t 	 -1.000000	OK	PF 	 30.0	
 1390917579.697564	0.000000	STA	v1 	 22.522385	a1 	 0.385817	p1 	 8.689517	t 	 -1.000000	OK	PF 	 30.0	
 1390917579.742522	0.000000	STA	v1 	 22.522385	a1 	 0.385817	p1 	 8.689517	t 	 -1.000000	OK	PF 	 30.0	
 1390917579.770827	0.000000	STA	v1 	 22.522385	a1 	 0.385817	p1 	 8.689517	t 	 -1.000000	OK	PF 	 30.0	
 1390917579.806448	0.000000	STA	v1 	 22.522385	a1 	 0.385817	p1 	 8.689517	t 	 -1.000000	OK	PF 	 30.0	
 1390917579.84114	0.000000	STA	v1 	 22.522385	a1 	 0.385817	p1 	 8.689517	t 	 -1.000000	OK	PF 	 30.0	
 1390917579.875804	0.000000	STA	v1 	 22.522385	a1 	 0.385817	p1 	 8.689517	t 	 -1.000000	OK	PF 	 30.0	
 1390917579.917664	0.000000	STA	v1 	 22.522385	a1 	 0.385817	p1 	 8.689517	t 	 -1.000000	OK	PF 	 30.0	
 1390917579.951927	0.000000	STA	v1 	 22.522385	a1 	 0.385817	p1 	 8.689517	t 	 -1.000000	OK	PF 	 30.0	
 1390917579.989786	0.000000	STA	v1 	 22.522385	a1 	 0.385817	p1 	 8.689517	t 	 -1.000000	OK	PF 	 30.0	
 1390917580.018053	0.000000	STA	v1 	 22.522385	a1 	 0.385817	p1 	 8.689517	t 	 -1.000000	OK	PF 	 30.0	
 1390917580.055986	0.000000	STA	v1 	 22.522385	a1 	 0.385817	p1 	 8.689517	t 	 -1.000000	OK	PF 	 30.0	
 1390917580.087951	0.000000	STA	v1 	 22.522385	a1 	 0.385817	p1 	 8.689517	t 	 -1.000000	OK	PF 	 30.0	
 1390917580.121897	0.000000	STA	v1 	 22.522385	a1 	 0.385817	p1 	 8.689517	t 	 -1.000000	OK	PF 	 30.0	
 1390917580.156137	0.000000	STA	v1 	 22.522385	a1 	 0.385817	p1 	 8.689517	t 	 -1.000000	OK	PF 	 30.0	
 1390917580.191005	0.000000	STA	v1 	 22.522385	a1 	 0.385817	p1 	 8.689517	t 	 -1.000000	OK	PF 	 30.0	
 1390917580.233203	0.000000	STA	v1 	 22.522385	a1 	 0.385817	p1 	 8.689517	t 	 -1.000000	OK	PF 	 30.0	
 1390917580.256239	0.000000	STA	v1 	 22.522385	a1 	 0.385817	p1 	 8.689517	t 	 -1.000000	OK	PF 	 30.0	
 1390917580.291857	0.000000	STA	v1 	 22.522385	a1 	 0.385817	p1 	 8.689517	t 	 -1.000000	OK	PF 	 30.0	
 1390917580.330502	0.000000	STA	v1 	 22.522385	a1 	 0.385817	p1 	 8.689517	t 	 -1.000000	OK	PF 	 30.0	
 1390917580.360339	0.000000	STA	v1 	 22.522385	a1 	 0.385817	p1 	 8.689517	t 	 -1.000000	OK	PF 	 30.0	
 1390917580.399104	0.000000	STA	v1 	 22.522385	a1 	 0.385817	p1 	 8.689517	t 	 -1.000000	OK	PF 	 30.0	
 1390917580.432273	0.000000	STA	v1 	 22.522385	a1 	 0.385817	p1 	 8.689517	t 	 -1.000000	OK	PF 	 30.0	
 1390917580.467816	0.000000	STA	v1 	 22.522385	a1 	 0.385817	p1 	 8.689517	t 	 -1.000000	OK	PF 	 30.0	
 1390917580.501245	0.000000	STA	v1 	 22.522385	a1 	 0.385817	p1 	 8.689517	t 	 -1.000000	OK	PF 	 30.0	
 1390917580.531638	0.000000	STA	v1 	 22.522385	a1 	 0.385817	p1 	 8.689517	t 	 -1.000000	OK	PF 	 30.0	
 1390917580.56702	0.000000	STA	v1 	 22.522385	a1 	 0.385817	p1 	 8.689517	t 	 -1.000000	OK	PF 	 30.0	
 1390917580.614086	0.000000	STA	v1 	 22.522385	a1 	 0.385817	p1 	 8.689517	t 	 -1.000000	OK	PF 	 30.0	
 1390917580.639132	0.000000	STA	v1 	 22.522385	a1 	 0.385817	p1 	 8.689517	t 	 -1.000000	OK	PF 	 30.0	
 1390917580.671021	0.000000	STA	v1 	 22.522385	a1 	 0.385817	p1 	 8.689517	t 	 -1.000000	OK	PF 	 30.0	
 1390917580.70223	0.000000	STA	v1 	 22.522385	a1 	 0.385817	p1 	 8.689517	t 	 -1.000000	OK	PF 	 30.0	
 1390917580.735723	0.000000	STA	v1 	 22.522385	a1 	 0.385817	p1 	 8.689517	t 	 -1.000000	OK	PF 	 30.0	
 1390917580.772132	0.000000	STA	v1 	 22.522385	a1 	 0.385817	p1 	 8.689517	t 	 -1.000000	OK	PF 	 30.0	
 1390917580.808613	0.000000	STA	v1 	 22.522385	a1 	 0.385817	p1 	 8.689517	t 	 -1.000000	OK	PF 	 30.0	
 1390917580.838744	0.000000	STA	v1 	 22.522385	a1 	 0.385817	p1 	 8.689517	t 	 -1.000000	OK	PF 	 30.0	
 1390917580.881188	0.000000	STA	v1 	 22.522385	a1 	 0.385817	p1 	 8.689517	t 	 -1.000000	OK	PF 	 30.0	
 1390917580.9114	0.000000	STA	v1 	 22.522385	a1 	 0.385817	p1 	 8.689517	t 	 -1.000000	OK	PF 	 30.0	
 1390917580.947034	0.000000	STA	v1 	 22.522385	a1 	 0.385817	p1 	 8.689517	t 	 -1.000000	OK	PF 	 30.0	
 1390917580.979219	0.000000	STA	v1 	 22.522385	a1 	 0.385817	p1 	 8.689517	t 	 -1.000000	OK	PF 	 30.0	
 1390917581.015769	0.000000	STA	v1 	 22.522385	a1 	 0.385817	p1 	 8.689517	t 	 -1.000000	OK	PF 	 30.0	
 1390917581.050114	0.000000	STA	v1 	 22.522385	a1 	 0.385817	p1 	 8.689517	t 	 -1.000000	OK	PF 	 30.0	
 1390917581.085999	0.000000	STA	v1 	 22.522385	a1 	 0.385817	p1 	 8.689517	t 	 -1.000000	OK	PF 	 30.0	
 1390917581.133311	0.000000	STA	v1 	 22.522385	a1 	 0.385817	p1 	 8.689517	t 	 -1.000000	OK	PF 	 30.0	
 1390917581.159932	0.000000	STA	v1 	 22.522385	a1 	 0.385817	p1 	 8.689517	t 	 -1.000000	OK	PF 	 30.0	
 1390917581.199988	0.000000	STA	v1 	 22.522385	a1 	 0.385817	p1 	 8.689517	t 	 -1.000000	OK	PF 	 30.0	
 1390917581.229858	0.000000	STA	v1 	 22.522385	a1 	 0.385817	p1 	 8.689517	t 	 -1.000000	OK	PF 	 30.0	
 1390917581.271073	0.000000	STA	v1 	 22.522385	a1 	 0.385817	p1 	 8.689517	t 	 -1.000000	OK	PF 	 30.0	
 1390917581.297432	0.000000	STA	v1 	 22.522385	a1 	 0.385817	p1 	 8.689517	t 	 -1.000000	OK	PF 	 30.0	
 1390917581.331537	0.000000	STA	v1 	 22.334997	a1 	 0.385817	p1 	 8.617220	t 	 -1.000000	OK	PF 	 30.0	
 1390917581.37002	0.000000	STA	v1 	 22.334997	a1 	 0.385817	p1 	 8.617220	t 	 -1.000000	OK	PF 	 30.0	
 1390917581.413217	0.000000	STA	v1 	 22.334997	a1 	 0.385817	p1 	 8.617220	t 	 -1.000000	OK	PF 	 30.0	
 1390917581.441791	0.000000	STA	v1 	 22.334997	a1 	 0.385817	p1 	 8.617220	t 	 -1.000000	OK	PF 	 30.0	
 1390917581.481498	0.000000	STA	v1 	 22.334997	a1 	 0.385817	p1 	 8.617220	t 	 -1.000000	OK	PF 	 30.0	
 1390917581.509918	0.000000	STA	v1 	 22.334997	a1 	 0.385817	p1 	 8.617220	t 	 -1.000000	OK	PF 	 30.0	
 1390917581.580005	0.009353	ON	v1 	 22.334997	a1 	 0.385817	p1 	 8.617220	t 	 -1.000000	OK	PF 	 30.0	
 1390917581.625188	0.054536	ON	v1 	 22.334997	a1 	 0.385817	p1 	 8.617220	t 	 -1.000000	OK	PF 	 30.0	
 1390917581.667677	0.097026	ON	v1 	 22.334997	a1 	 0.385817	p1 	 8.617220	t 	 -1.000000	OK	PF 	 30.0	
 1390917581.714711	0.144059	ON	v1 	 22.334997	a1 	 0.385817	p1 	 8.617220	t 	 -1.000000	OK	PF 	 30.0	
 1390917581.756742	0.186091	ON	v1 	 22.334997	a1 	 0.385817	p1 	 8.617220	t 	 -1.000000	OK	PF 	 30.0	
 1390917581.80008	0.229427	ON	v1 	 22.334997	a1 	 0.385817	p1 	 8.617220	t 	 -1.000000	OK	PF 	 30.0	
 1390917581.847049	0.276394	ON	v1 	 22.334997	a1 	 0.385817	p1 	 8.617220	t 	 -1.000000	OK	PF 	 30.0	
 1390917581.888019	0.317367	ON	v1 	 22.334997	a1 	 0.385817	p1 	 8.617220	t 	 -1.000000	OK	PF 	 30.0	
 1390917581.929893	0.359242	ON	v1 	 22.334997	a1 	 0.385817	p1 	 8.617220	t 	 -1.000000	OK	PF 	 30.0	
 1390917581.975658	0.405005	ON	v1 	 22.334997	a1 	 0.385817	p1 	 8.617220	t 	 -1.000000	OK	PF 	 30.0	
 1390917582.017548	0.446895	ON	v1 	 22.334997	a1 	 0.385817	p1 	 8.617220	t 	 -1.000000	OK	PF 	 30.0	
 1390917582.059957	0.489307	ON	v1 	 22.334997	a1 	 0.385817	p1 	 8.617220	t 	 -1.000000	OK	PF 	 30.0	
 1390917582.100457	0.529803	ON	v1 	 22.334997	a1 	 0.385817	p1 	 8.617220	t 	 -1.000000	OK	PF 	 30.0	
 1390917582.144985	0.574332	ON	v1 	 22.334997	a1 	 0.385817	p1 	 8.617220	t 	 -1.000000	OK	PF 	 30.0	
 1390917582.18741	0.616756	ON	v1 	 22.334997	a1 	 0.385817	p1 	 8.617220	t 	 -1.000000	OK	PF 	 30.0	
 1390917582.229189	0.658534	ON	v1 	 22.334997	a1 	 0.385817	p1 	 8.617220	t 	 -1.000000	OK	PF 	 30.0	
 1390917582.280049	0.709397	ON	v1 	 22.334997	a1 	 0.385817	p1 	 8.617220	t 	 -1.000000	OK	PF 	 30.0	
 1390917582.321382	0.750731	ON	v1 	 22.334997	a1 	 0.385817	p1 	 8.617220	t 	 -1.000000	OK	PF 	 30.0	
 1390917582.365429	0.794777	ON	v1 	 22.334997	a1 	 0.385817	p1 	 8.617220	t 	 -1.000000	OK	PF 	 30.0	
 1390917582.410344	0.839692	ON	v1 	 22.334997	a1 	 0.385817	p1 	 8.617220	t 	 -1.000000	OK	PF 	 30.0	
 1390917582.451672	0.881022	ON	v1 	 22.334997	a1 	 0.385817	p1 	 8.617220	t 	 -1.000000	OK	PF 	 30.0	
