
Fuel Cell Controller
Horizon H-100 Stack
(c) Simon Howroyd 2013
Loughborough University

controller  Copyright (C) 2013  Simon Howroyd
This program comes with ABSOLUTELY NO WARRANTY; for details type `show w'.
This is free software, and you are welcome to redistribute it,
under certain conditions; type `show c' for details.

Tue Jan 28 14:01:52 2014


 1390917716.182272	0.000000	STA	v1 	 21.951906	a1 	 0.385817	p1 	 8.469417	t 	 -1.000000	OK	PF 	 15.0	
 1390917716.218228	0.000000	STA	v1 	 21.951906	a1 	 0.385817	p1 	 8.469417	t 	 -1.000000	OK	PF 	 15.0	
 1390917716.25078	0.000000	STA	v1 	 21.951906	a1 	 0.385817	p1 	 8.469417	t 	 -1.000000	OK	PF 	 15.0	
 1390917716.291046	0.000000	STA	v1 	 21.951906	a1 	 0.385817	p1 	 8.469417	t 	 -1.000000	OK	PF 	 15.0	
 1390917716.320376	0.000000	STA	v1 	 21.951906	a1 	 0.385817	p1 	 8.469417	t 	 -1.000000	OK	PF 	 15.0	
 1390917716.361658	0.000000	STA	v1 	 21.951906	a1 	 0.385817	p1 	 8.469417	t 	 -1.000000	OK	PF 	 15.0	
 1390917716.400324	0.000000	STA	v1 	 21.951906	a1 	 0.385817	p1 	 8.469417	t 	 -1.000000	OK	PF 	 15.0	
 1390917716.428865	0.000000	STA	v1 	 21.951906	a1 	 0.385817	p1 	 8.469417	t 	 -1.000000	OK	PF 	 15.0	
 1390917716.471012	0.000000	STA	v1 	 21.951906	a1 	 0.385817	p1 	 8.469417	t 	 -1.000000	OK	PF 	 15.0	
 1390917716.513363	0.000000	STA	v1 	 21.951906	a1 	 0.385817	p1 	 8.469417	t 	 -1.000000	OK	PF 	 15.0	
 1390917716.536375	0.000000	STA	v1 	 21.951906	a1 	 0.385817	p1 	 8.469417	t 	 -1.000000	OK	PF 	 15.0	
 1390917716.571751	0.000000	STA	v1 	 21.951906	a1 	 0.385817	p1 	 8.469417	t 	 -1.000000	OK	PF 	 15.0	
 1390917716.606374	0.000000	STA	v1 	 21.951906	a1 	 0.385817	p1 	 8.469417	t 	 -1.000000	OK	PF 	 15.0	
 1390917716.641212	0.000000	STA	v1 	 21.951906	a1 	 0.385817	p1 	 8.469417	t 	 -1.000000	OK	PF 	 15.0	
 1390917716.682553	0.000000	STA	v1 	 21.951906	a1 	 0.385817	p1 	 8.469417	t 	 -1.000000	OK	PF 	 15.0	
 1390917716.709085	0.000000	STA	v1 	 21.951906	a1 	 0.385817	p1 	 8.469417	t 	 -1.000000	OK	PF 	 15.0	
 1390917716.742348	0.000000	STA	v1 	 21.951906	a1 	 0.385817	p1 	 8.469417	t 	 -1.000000	OK	PF 	 15.0	
 1390917716.777048	0.000000	STA	v1 	 21.951906	a1 	 0.385817	p1 	 8.469417	t 	 -1.000000	OK	PF 	 15.0	
 1390917716.823847	0.000000	STA	v1 	 21.951906	a1 	 0.385817	p1 	 8.469417	t 	 -1.000000	OK	PF 	 15.0	
 1390917716.850795	0.000000	STA	v1 	 21.951906	a1 	 0.385817	p1 	 8.469417	t 	 -1.000000	OK	PF 	 15.0	
 1390917716.891679	0.000000	STA	v1 	 21.951906	a1 	 0.380151	p1 	 8.345048	t 	 -1.000000	OK	PF 	 15.0	
 1390917716.920454	0.000000	STA	v1 	 21.951906	a1 	 0.380151	p1 	 8.345048	t 	 -1.000000	OK	PF 	 15.0	
 1390917716.961109	0.000000	STA	v1 	 21.951906	a1 	 0.380151	p1 	 8.345048	t 	 -1.000000	OK	PF 	 15.0	
 1390917716.990629	0.000000	STA	v1 	 21.951906	a1 	 0.380151	p1 	 8.345048	t 	 -1.000000	OK	PF 	 15.0	
 1390917717.036638	0.000000	STA	v1 	 21.951906	a1 	 0.380151	p1 	 8.345048	t 	 -1.000000	OK	PF 	 15.0	
 1390917717.073343	0.000000	STA	v1 	 21.951906	a1 	 0.380151	p1 	 8.345048	t 	 -1.000000	OK	PF 	 15.0	
 1390917717.099372	0.000000	STA	v1 	 21.951906	a1 	 0.380151	p1 	 8.345048	t 	 -1.000000	OK	PF 	 15.0	
